46,<0.1,11,60,71,parent,GAC
47,<0.1,12,60,71,parent,GAC
47,<0.1,13,60,71,parent,GAC
48,<0.1,14,60,71,parent,GAC
49,<0.1,15,60,71,parent,GAC
49,<0.1,16,60,71,parent,GAC
50,<0.1,17,60,71,parent,GAC
51,0.1,18,60,71,parent,GAC
52,0.1,19,60,71,parent,GAC
52,0.1,20,60,71,parent,GAC
53,0.1,21,60,71,parent,GAC
54,0.1,22,60,71,parent,GAC
54,0.1,23,60,71,parent,GAC
55,0.1,24,60,71,parent,GAC
56,0.2,25,60,71,parent,GAC
56,0.2,26,60,71,parent,GAC
57,0.2,27,60,71,parent,GAC
58,0.3,28,60,71,parent,GAC
58,0.3,29,60,71,parent,GAC
59,0.3,30,60,71,parent,GAC
60,0.4,31,60,71,parent,GAC
60,0.4,32,60,71,parent,GAC
61,0.5,33,60,71,parent,GAC
62,1,34,60,71,parent,GAC
62,1,35,60,71,parent,GAC
63,1,36,60,71,parent,GAC
64,1,37,60,71,parent,GAC
64,1,38,60,71,parent,GAC
65,1,39,60,71,parent,GAC
66,1,40,60,71,parent,GAC
66,1,41,60,71,parent,GAC
67,1,42,60,71,parent,GAC
68,2,34,60,71,parent,GAC
68,2,44,60,71,parent,GAC
69,2,45,60,71,parent,GAC
70,2,46,60,71,parent,GAC
70,2,47,60,71,parent,GAC
71,3,48,60,71,parent,GAC
72,3,49,60,71,parent,GAC
72,3,50,60,71,parent,GAC
73,4,51,60,71,parent,GAC
74,4,52,60,71,parent,GAC
74,4,53,60,71,parent,GAC
75,5,54,60,71,parent,GAC
76,5,55,60,71,parent,GAC
76,5,56,60,71,parent,GAC
77,6,57,60,71,parent,GAC
78,7,58,60,71,parent,GAC
78,7,59,60,71,parent,GAC
79,8,60,60,71,parent,GAC
80,9,61,60,71,parent,GAC
80,9,62,60,71,parent,GAC
81,10,63,60,71,parent,GAC
82,12,64,60,71,parent,GAC
82,12,65,60,71,parent,GAC
83,13,66,60,71,parent,GAC
84,14,67,60,71,parent,GAC
84,14,68,60,71,parent,GAC
85,16,69,60,71,parent,GAC
86,18,70,60,71,parent,GAC
86,18,71,60,71,parent,GAC
87,19,72,60,71,parent,GAC
88,21,73,60,71,parent,GAC
88,21,74,60,71,parent,GAC
89,23,75,60,71,parent,GAC
90,25,76,60,71,parent,GAC
90,25,77,60,71,parent,GAC
91,27,78,60,71,parent,GAC
92,30,79,60,71,parent,GAC
93,32,80,60,71,parent,GAC
93,32,81,60,71,parent,GAC
94,34,82,60,71,parent,GAC
95,37,83,60,71,parent,GAC
95,37,84,60,71,parent,GAC
96,39,85,60,71,parent,GAC
97,42,86,60,71,parent,GAC
97,42,87,60,71,parent,GAC
98,45,88,60,71,parent,GAC
99,47,89,60,71,parent,GAC
99,47,90,60,71,parent,GAC
100,50,91,60,71,parent,GAC
101,53,92,60,71,parent,GAC
101,53,93,60,71,parent,GAC
102,55,94,60,71,parent,GAC
103,58,95,60,71,parent,GAC
103,58,96,60,71,parent,GAC
104,61,97,60,71,parent,GAC
104,61,98,60,71,parent,GAC
105,63,99,60,71,parent,GAC
106,66,100,60,71,parent,GAC
106,66,101,60,71,parent,GAC
107,68,102,60,71,parent,GAC
108,70,103,60,71,parent,GAC
108,70,104,60,71,parent,GAC
109,73,105,60,71,parent,GAC
110,75,106,60,71,parent,GAC
110,75,107,60,71,parent,GAC
111,77,108,60,71,parent,GAC
112,79,109,60,71,parent,GAC
112,79,110,60,71,parent,GAC
113,81,111,60,71,parent,GAC
113,81,112,60,71,parent,GAC
114,82,113,60,71,parent,GAC
115,84,114,60,71,parent,GAC
115,84,115,60,71,parent,GAC
116,86,116,60,71,parent,GAC
117,87,117,60,71,parent,GAC
117,87,118,60,71,parent,GAC
118,88,119,60,71,parent,GAC
119,90,120,60,71,parent,GAC
119,90,121,60,71,parent,GAC
120,>90,122,60,71,parent,GAC
120,>90,123,60,71,parent,GAC
120,>90,124,60,71,parent,GAC
120,>90,125,60,71,parent,GAC
120,>90,126,60,71,parent,GAC
120,>90,127,60,71,parent,GAC
120,>90,128,60,71,parent,GAC
120,>90,129,60,71,parent,GAC
120,>90,130,60,71,parent,GAC
120,>90,131,60,71,parent,GAC
120,>90,132,60,71,parent,GAC
120,>90,133,60,71,parent,GAC
120,>90,134,60,71,parent,GAC
120,>90,135,60,71,parent,GAC
120,>90,136,60,71,parent,GAC
120,>90,137,60,71,parent,GAC
120,>90,138,60,71,parent,GAC
120,>90,139,60,71,parent,GAC
120,>90,140,60,71,parent,GAC
120,>90,141,60,71,parent,GAC
120,>90,142,60,71,parent,GAC
120,>90,143,60,71,parent,GAC
120,>90,144,60,71,parent,GAC
120,>90,145,60,71,parent,GAC
120,>90,146,60,71,parent,GAC
120,>90,147,60,71,parent,GAC
120,>90,148,60,71,parent,GAC
120,>90,149,60,71,parent,GAC
120,>90,150,60,71,parent,GAC
120,>90,151,60,71,parent,GAC
120,>90,152,60,71,parent,GAC
120,>90,153,60,71,parent,GAC
120,>90,154,60,71,parent,GAC
120,>90,155,60,71,parent,GAC
120,>90,156,60,71,parent,GAC
120,>90,157,60,71,parent,GAC
120,>90,158,60,71,parent,GAC
48,<0.1,13,72,83,parent,GAC
49,<0.1,14,72,83,parent,GAC
49,<0.1,15,72,83,parent,GAC
50,<0.1,16,72,83,parent,GAC
51,0.1,17,72,83,parent,GAC
